district,date,N,P,K,pH,OC,EC,Zn,Fe,Cu,Mn,Soil_Moisture,Water_pH,Water_EC,TDS,Salinity,Hardness,Temperature,Rainfall,Humidity,Wind_Speed,Solar_Radiation,Crop,Soil_Type,Will_Grow,season
Pakur,2061-03-12,219,55,382,4.56,0.55,1.35,3.85,8.01,1.07,16.52,28.6,5.6,2.2,207.4,1.94,179.5,26.4,151.1,74.9,10.2,164.6,Millets,Red Lateritic,0,Zaid
Deoghar,2061-03-13,282,57,536,5.38,1.15,0.89,4.98,2.17,3.12,2.79,38.12,8.18,1.54,385.4,0.31,224.9,38.3,152.3,67.8,0.9,64.1,Pulses,Black,0,Zaid
Simdega,2061-03-14,269,15,220,6.39,1.35,1.12,2.48,11.98,4.57,7.57,14.52,8.44,2.52,248.1,1.62,283.9,26.8,169.7,78,2.3,55.1,Millets,Sandy,0,Zaid
Khunti,2061-03-15,390,34,214,4.64,0.88,0.19,2.17,9.75,2.1,14.13,16.22,7.06,2.83,142.9,1.27,259.6,27.4,8.7,81.1,13.3,240.1,Wheat,Red Lateritic,0,Zaid
Ranchi,2061-03-16,132,38,128,8.45,0.47,1.86,3.37,18.39,4.05,12.83,37.78,7.48,2.52,144.7,1.85,121.6,24.3,35.6,86.8,2.5,148.2,Millets,Alluvial,0,Zaid
Palamu,2061-03-17,223,43,205,6.06,1.28,0.31,1.62,8.9,1.06,14.03,19.12,6.04,2.26,302.9,1.32,57.3,39.2,198.6,21.9,10.2,190.9,Rice,Sandy,0,Zaid
Saraikela Kharsawan,2061-03-18,145,23,589,7.41,1.59,1.71,0.66,13.93,3.95,16.72,21.43,6.19,2.66,364.6,1.17,322.4,11.2,71.6,76.3,10.7,127,Millets,Black,0,Zaid
Palamu,2061-03-19,168,59,107,5.85,0.85,1.92,0.94,19.8,0.57,18.93,37.49,6.24,3,294.1,0.53,95,25.7,58.8,53,4.9,146.5,Millets,Red Lateritic,0,Zaid
Ramgarh,2061-03-20,122,58,369,4.79,0.64,0.3,1.19,14.58,3.85,7.09,17.9,8.33,0.37,113.8,0.77,108.4,39.8,166.9,28.2,13.4,129,Millets,Red Lateritic,0,Zaid
Palamu,2061-03-21,110,9,516,4.6,0.35,1.38,2.79,5.52,1.96,15.12,30.44,7.63,2.39,120.1,0.96,267,29.3,148.2,71.1,8.3,204,Maize,Red Lateritic,0,Zaid
Giridih,2061-03-22,365,47,581,5.45,2.44,0.34,1.57,13.33,2.28,16.2,35.54,5.8,1.33,420.9,0.54,240.6,16.1,185.9,27.4,9.7,163.2,Rice,Black,0,Zaid
Bokaro,2061-03-23,283,14,124,5.3,0.57,0.44,0.54,13.14,0.68,12.77,21.88,6.1,2.19,121.7,1.16,314.1,16.5,109.7,24.2,1.8,134,Millets,Red Lateritic,0,Zaid
Gumla,2061-03-24,262,59,397,8.34,2.15,0.53,4.77,3.34,2.16,13.04,27.58,6.54,1.2,119.6,1.32,354,33.3,157.4,86.1,5.3,143.3,Pulses,Alluvial,0,Zaid
Simdega,2061-03-25,250,49,157,7.03,2.21,0.4,0.64,15.86,1.69,5.76,12.32,7.4,1.84,350.5,1.5,249.3,17.9,126.9,91.3,0,167.2,Wheat,Sandy,0,Zaid
Ramgarh,2061-03-26,155,24,266,6.55,2.11,0.4,1.24,7.78,4.24,8.9,13.45,8.06,0.23,479.6,0.3,193.8,36.5,63.4,20.1,10.1,56.3,Pulses,Sandy,0,Zaid
Latehar,2061-03-27,193,26,318,5.18,1.27,1.06,3.09,15.07,1.04,1.32,31.08,7.82,0.9,63.2,2.12,331.8,22.2,41.7,40,7.6,146.8,Millets,Sandy,0,Zaid
Palamu,2061-03-28,189,59,501,4.84,2.28,1.9,1.55,13.22,0.82,5.12,37.97,7.07,0.85,186.5,1.19,394,31.9,74.4,74.2,7.5,205.4,Vegetables,Black,1,Zaid
Khunti,2061-03-29,379,16,95,5.59,0.85,1.25,2.12,16.94,1.88,15.42,39.87,7.34,2.17,319.6,1.64,397,29.7,126.1,36.5,6.4,77.6,Rice,Red Lateritic,0,Zaid
Gumla,2061-03-30,227,39,291,7.25,2.44,0.56,4.58,19.81,1.73,10.09,36.01,5.9,2.7,457.3,0.7,63.6,38.4,108.5,99,1.6,233.6,Wheat,Sandy,0,Zaid
Deoghar,2061-03-31,154,46,112,8.3,1.06,0.45,3.29,19.55,0.23,2.45,31.44,5.72,0.18,414.1,1.78,121.2,29.3,188.1,85,1.4,175.5,Millets,Alluvial,0,Zaid
Hazaribagh,2061-04-01,361,20,274,5.33,1.6,1.4,2.31,15.27,4.73,2.38,29.25,7.72,2.52,389.6,1.98,372.3,28.6,197.4,38,13.1,187.5,Millets,Sandy,0,Zaid
Dumka,2061-04-02,248,42,134,5.24,1.1,1.29,1.43,10.29,2.6,16.7,12.51,7.72,0.45,313.4,0.41,206.2,23.5,29.3,62.8,1.1,148.2,Millets,Sandy,0,Zaid
East Singhbhum,2061-04-03,200,15,219,6.35,0.38,1.48,3.59,14.77,3.64,17.51,20.49,7.33,2.42,51,2.22,125.5,19.1,119.3,32.3,11.5,170.4,Millets,Sandy,0,Zaid
Dhanbad,2061-04-04,216,6,511,7.95,1.76,1.9,2.69,3.5,0.45,2.24,12.44,6.79,1.43,496.5,2.26,373.2,23,49.1,72.4,10.6,146.5,Pulses,Black,0,Zaid
East Singhbhum,2061-04-05,192,34,361,5.19,2.36,1.51,4.71,2.86,4.61,18.36,27.25,7.76,0.24,433,1.49,107.1,39.5,91.2,55.6,1.2,92.8,Wheat,Sandy,0,Zaid
Deoghar,2061-04-06,122,34,562,7.98,0.51,1.11,2.47,16.64,2.18,15.76,25.17,8.49,2.97,200.3,2.07,181.8,24.4,65.9,62.5,14.9,91.1,Maize,Black,0,Zaid
Saraikela Kharsawan,2061-04-07,228,12,404,6.57,1.49,1.21,1.4,4.56,2.06,9.47,11.48,6.82,0.27,298.5,0.05,119.4,30.2,41.7,81.6,5.7,230.8,Millets,Sandy,0,Zaid
Khunti,2061-04-08,118,26,568,6.51,2.19,0.13,1.97,8.8,0.71,7.99,29.4,6.67,1.76,421.9,0.56,328.6,39.4,142,88.7,13.2,208.1,Rice,Black,0,Zaid
Godda,2061-04-09,114,29,594,5.61,1.64,1.37,4.61,5.43,2.9,2.43,28.89,6.34,1.25,122.3,1.72,391.4,14.9,182.2,80.4,12.7,168.7,Vegetables,Black,0,Zaid
Chatra,2061-04-10,76,20,582,5.96,2.35,0.9,2.28,16.14,3.58,13.92,13.92,7.36,1.66,455.2,1.76,85.7,20.3,171.4,81.6,11.1,67.3,Pulses,Black,0,Zaid
Lohardaga,2061-04-11,344,46,237,6.56,2.16,0.13,2.76,18.82,3.12,14.91,33.42,5.65,1.86,127.9,0.01,398.5,37.4,83.3,22.4,7.5,184.8,Pulses,Loamy,0,Zaid
Palamu,2061-04-12,341,21,275,7.96,2.44,1.3,1.96,19.51,0.31,1.8,33.87,7.9,0.49,456.4,0.56,246.5,23.7,127.2,93,8,155.3,Wheat,Alluvial,0,Zaid
Godda,2061-04-13,253,9,598,5.93,1.59,1.6,2.23,9.94,1.98,10.45,15.75,5.85,1.01,55.9,0.49,390.6,12.9,67.8,28.8,4.4,57.7,Pulses,Black,0,Zaid
Garhwa,2061-04-14,78,39,233,6.26,1.03,0.31,0.62,11.4,4.83,3.38,27.51,6.42,0.23,489.9,0.56,313.1,32.3,66.9,43.9,14,226.7,Vegetables,Sandy,0,Zaid
Pakur,2061-04-15,101,52,372,7.31,1.57,0.32,3.83,7.34,2.13,5.16,24.97,5.61,2.3,388.8,0.64,260.4,36.3,85.1,33.9,8,131.8,Rice,Sandy,0,Zaid
Ramgarh,2061-04-16,304,54,468,6.22,0.67,0.39,2.8,3.68,3.67,17.55,35.74,7.44,2.65,347.1,2.39,361.7,25.3,62.4,86.9,6.4,150.1,Rice,Loamy,1,Zaid
Giridih,2061-04-17,176,37,457,4.97,1.42,1.48,4.72,8.96,2.1,19.18,37.86,7.66,2.02,195.8,0.55,344,15.8,137.2,39.2,10.8,244.4,Maize,Sandy,0,Zaid
Pakur,2061-04-18,356,7,66,8.41,1.7,1.95,0.4,8.75,2.16,5.88,24.05,7.94,0.67,163,1.59,138.9,17.5,77.2,38.1,2.3,225.6,Wheat,Alluvial,0,Zaid
East Singhbhum,2061-04-19,229,10,388,7.26,1.86,0.88,1.71,8.7,1.17,10.65,22.28,6.01,0.77,321.4,0.12,214.7,24.9,93.2,83.2,5,193.6,Pulses,Sandy,0,Zaid
Deoghar,2061-04-20,247,50,339,6.05,1.88,0.48,2,16.69,2.17,1.03,15.68,6.69,2,470.3,0.96,238.7,31.6,33.9,65.5,1.3,139.5,Pulses,Sandy,0,Zaid
Pakur,2061-04-21,360,50,552,7.05,0.55,0.47,4.86,14.33,0.11,11.98,34.46,6.34,1.27,474.2,2.05,240,37.8,193.1,66.3,6.9,50.5,Wheat,Black,0,Zaid
Ramgarh,2061-04-22,369,42,552,4.74,2.33,0.82,1.71,19.35,2.08,5.17,33.04,7.66,0.72,151.5,0.02,77.4,36.2,92,25.9,8.5,231.6,Wheat,Black,0,Zaid
Khunti,2061-04-23,92,60,555,8.18,0.87,1.62,2.9,15.7,3.5,6.4,27.29,6.58,2.91,162.6,1.51,324.3,17.5,161,35,8.7,89.5,Millets,Black,0,Zaid
East Singhbhum,2061-04-24,236,25,286,5.28,1.76,1.89,4.37,3.45,3.19,13.96,27.69,6.68,2.97,189.2,2.26,180.9,22.3,195.6,29.2,7.4,101.9,Maize,Sandy,0,Zaid
Pakur,2061-04-25,353,21,150,7.88,1.17,0.74,2.1,7.08,4.15,5.96,28.03,8.2,0.21,393.7,1.7,134.1,10.2,46.3,53.5,9.4,93.4,Maize,Alluvial,0,Zaid
Chatra,2061-04-26,123,16,180,6.45,0.38,0.18,1.77,3.71,0.58,16.74,35.49,7.72,1.24,372.1,2.22,395.8,19.2,24.3,72.8,0.6,187.4,Rice,Loamy,0,Zaid
Garhwa,2061-04-27,221,20,553,4.81,0.51,1.16,3.32,13.22,0.23,1.53,38,6.22,2.44,159.7,0.56,212.6,14.7,174.1,71.4,1,164.9,Wheat,Red Lateritic,0,Zaid
Saraikela Kharsawan,2061-04-28,215,18,249,4.63,0.52,0.2,3.67,13.45,3.71,11.88,35.68,7.09,0.13,263.3,1.58,84,33.5,76.9,38.9,11.7,202.7,Millets,Red Lateritic,0,Zaid
Latehar,2061-04-29,315,60,274,7.28,2.07,1.38,4.76,18.94,1.77,19.82,38.48,5.52,2.23,186.6,0.44,337.7,32.4,52.5,73.7,11.5,67.4,Maize,Sandy,0,Zaid
Garhwa,2061-04-30,61,30,262,8.09,0.46,1.48,4.6,2.39,4.2,11.06,33.83,7.14,2.3,443.4,0.29,95,16.4,122.9,76.7,8.9,198.8,Maize,Alluvial,0,Zaid
Dhanbad,2061-05-01,182,37,303,6.11,1.3,1.33,4.66,6.04,0.33,6.8,30.09,5.88,1.81,427.7,1.59,196.2,28,197.4,55.3,10.6,242.1,Rice,Loamy,0,Zaid
Ranchi,2061-05-02,163,37,356,5.26,2.39,1.76,4.29,15.31,0.59,3.85,27.86,7.46,2.19,59.6,2.05,171.2,25.9,50.6,88.7,4.7,100.8,Maize,Sandy,0,Zaid
Koderma,2061-05-03,282,59,318,4.77,0.65,1.75,1.83,4.51,1.6,15.23,28.81,6.87,2.18,105.8,1.55,296.7,25.6,126.7,46.5,11.5,115.9,Wheat,Red Lateritic,0,Zaid
Pakur,2061-05-04,359,28,371,6.41,2.31,1.85,4.93,6.42,0.86,9.94,28,6.45,2.37,363.2,0.77,80,16.7,27.4,83.3,5.7,136.1,Pulses,Sandy,0,Zaid
Simdega,2061-05-05,323,42,431,7.11,2.3,1.54,2.6,15.45,4.64,12.23,17.57,8.24,2.82,359.6,0.9,86.9,28.6,33.6,32.7,10.1,231.2,Maize,Sandy,0,Zaid
Saraikela Kharsawan,2061-05-06,280,56,367,7.74,2,0.38,4.41,9.55,2.91,12.31,29.91,8.04,2.11,357.5,1.1,62.9,28.8,148.4,74.4,3.6,224.8,Millets,Alluvial,0,Zaid
Palamu,2061-05-07,391,11,212,7.58,1.09,1.29,3.99,19.32,4.86,1.87,11.7,7.58,0.43,398.5,0.51,396.5,39.6,116.2,37.7,7.7,99.4,Pulses,Alluvial,0,Zaid
Saraikela Kharsawan,2061-05-08,133,12,244,6.79,1.28,0.37,0.82,9.52,1.17,4.7,36.33,7.59,1.76,485.2,2.28,229.6,24,75.2,50.4,14.5,242.2,Rice,Loamy,0,Zaid
Ramgarh,2061-05-09,156,51,341,6.4,1.15,0.83,1.84,17.78,2.37,16.33,18.6,6.69,2.91,445.9,1.34,130.8,34.1,23.3,65.8,4.7,53.6,Millets,Sandy,0,Zaid
Dumka,2061-05-10,177,17,562,7.62,1.79,0.36,2.13,16.25,1.44,18.01,14.26,7.66,0.33,110,2.31,314.1,31.4,71.9,86.6,8.4,142.1,Wheat,Black,0,Zaid
Jamtara,2061-05-11,83,43,248,6.54,2.2,1.66,4.99,8.83,1.48,7.98,29.82,5.53,1.84,52.5,1.63,147.6,28.3,136.2,73.1,11.3,208.1,Rice,Sandy,0,Zaid
Khunti,2061-05-12,334,39,256,4.79,2.41,0.5,2.49,4.72,2.11,1.92,22,5.63,1.13,315.6,0.63,352.6,15.6,62.7,68.2,2.9,249.4,Wheat,Sandy,0,Zaid
Ramgarh,2061-05-13,72,38,444,6.65,1.68,1.54,3.24,2.1,0.92,8.7,25.03,8.3,2.42,487.4,1,262.3,20.5,183,79.5,11.2,187.6,Vegetables,Sandy,0,Zaid
Saraikela Kharsawan,2061-05-14,292,35,374,6.01,1.85,0.79,0.34,1.45,3.15,6.91,20.24,6.95,0.32,323.6,2.42,301.5,10.6,34.7,40.6,11.5,208.2,Millets,Sandy,0,Zaid
Lohardaga,2061-05-15,163,30,268,7.96,2,1.09,2.55,12.44,0.27,15.41,12.43,5.71,2.26,317.6,0.11,281.7,15.8,7.2,55.5,8.5,77.1,Millets,Alluvial,0,Zaid
Latehar,2061-05-16,265,47,583,5.22,0.52,1.8,2.7,16.51,1.07,6.47,19.73,5.63,1.17,256.7,0.83,99.7,29.2,171.5,72.7,1.5,148.6,Wheat,Red Lateritic,0,Zaid
Chatra,2061-05-17,235,16,86,5.69,1.38,0.56,3.31,7.11,4.58,14.01,13.84,6.26,2.49,71.6,0.19,108.1,12.7,26,49.9,1.3,93.9,Vegetables,Sandy,0,Zaid
Ranchi,2061-05-18,228,36,124,6.06,0.78,0.78,2.49,11.66,2.38,3.19,18.85,8.49,2.78,256.1,0.95,238,30.2,65,84.5,5.5,62.2,Wheat,Sandy,0,Zaid
Ramgarh,2061-05-19,63,37,88,6.43,0.82,0.21,1.37,7.06,1.21,15.92,37.39,7.34,1.85,271.3,1.79,73.3,38.5,179.3,88.9,12.2,228.8,Pulses,Loamy,0,Zaid
Hazaribagh,2061-05-20,300,12,517,6.73,1.76,1.5,2.11,3.94,1.71,13.04,12.61,6.5,1.18,424.2,2.49,207.7,34.4,10.5,60.2,14,190.6,Maize,Black,0,Zaid
Khunti,2061-05-21,116,52,422,5.05,0.56,1.07,3.31,15.98,2.09,15.63,15.02,8.43,1.25,173.3,1.57,126.2,12.9,144.8,43.3,2.6,201.7,Wheat,Red Lateritic,0,Zaid
Gumla,2061-05-22,312,25,548,8.33,1.63,0.62,1.09,9.91,2.58,13.68,13.07,5.7,0.55,466.3,1.14,383.3,22.8,29,97.7,11.8,170.1,Maize,Black,0,Zaid
Ranchi,2061-05-23,342,28,64,8.31,1.74,1.76,2.4,16.24,2.85,10.65,29.57,8.06,1.18,126.2,0.11,250.7,22.1,57.4,87.4,8,122.7,Pulses,Alluvial,0,Zaid
East Singhbhum,2061-05-24,340,34,104,6.45,2.02,0.6,1.43,12.92,4.06,13.97,35.13,5.77,1.98,186.8,1.69,279.8,19,101.6,91,5.8,200.2,Rice,Loamy,1,Zaid
Pakur,2061-05-25,125,40,362,7.5,1.71,1.38,2.49,8.17,2.31,10.42,32.28,7.11,0.65,302.3,0.57,66.3,20.1,198.1,81.1,9.9,87.8,Millets,Sandy,0,Zaid
Palamu,2061-05-26,312,22,527,7.47,1.21,0.48,0.45,15.35,2.71,6.79,20.17,8.03,0.47,121.3,2.5,363.5,17.3,121.6,94.4,12.2,96.5,Rice,Black,1,Zaid
Hazaribagh,2061-05-27,222,9,491,6.23,1.38,1.53,2.83,10.44,4.96,16.53,23.56,6.14,2.21,200.8,0.07,142.8,32.3,49.5,31,10.9,165.2,Pulses,Sandy,0,Zaid
Latehar,2061-05-28,117,40,565,6.27,2.28,1.13,0.51,19.31,4.27,2.91,20.92,7.33,0.19,77.9,1.88,380.3,28.1,29.4,80.6,9.2,118.2,Wheat,Black,0,Zaid
Jamtara,2061-05-29,382,53,51,8.12,0.39,0.56,2.78,12.73,2.66,9.91,38.39,6.55,0.3,433.5,0.33,237,11.5,190.3,87.2,9.4,63,Millets,Alluvial,0,Zaid
Garhwa,2061-05-30,98,16,574,6.48,1.57,0.98,1.22,19.75,1.15,9.22,12.14,6.49,1.76,240.6,1.26,145.8,23.3,95.1,94.2,4.6,218.5,Rice,Black,0,Zaid
Garhwa,2061-05-31,93,59,507,6.97,1.21,0.19,0.24,6.7,2.57,1.85,32.36,6.61,0.32,113.9,0.32,213.8,11.9,102.2,59.4,13.9,189.3,Millets,Loamy,0,Zaid
Bokaro,2061-06-01,294,39,120,7,1.38,0.99,3.96,12.48,2.08,9.71,24.43,7.34,2.5,58.7,0.17,246.4,30.4,42,94.5,1.8,185.9,Wheat,Sandy,0,Kharif
Hazaribagh,2061-06-02,233,22,108,5.59,2.06,1.98,0.37,7.39,0.26,9.9,25.25,8.46,2.76,424.9,0.64,200.7,31.3,136.1,99,7,101.4,Wheat,Sandy,0,Kharif
Pakur,2061-06-03,265,29,80,5.62,2.14,0.23,2.75,3.31,1.37,14.15,15.29,6.69,1.6,90.8,1.83,388,13.4,155.1,51.3,5.8,64.2,Maize,Sandy,0,Kharif
Giridih,2061-06-04,383,14,442,7.61,2.29,0.53,4.42,11,2.45,2.86,37.29,6.02,0.75,188.9,2.13,54.9,31.8,104.5,25.6,4.4,144,Maize,Alluvial,0,Kharif
Saraikela Kharsawan,2061-06-05,346,60,370,5,1.41,0.9,2.11,7.96,0.43,18.18,39.88,5.99,1.88,256.2,1.13,272,17.4,42.6,49,6.3,92.5,Pulses,Sandy,0,Kharif
Deoghar,2061-06-06,246,13,75,5.25,1.31,0.47,3.66,18.91,2.66,5.04,33.21,7.53,2.68,73.4,1.05,333.1,12.7,110.1,58.1,5,132.1,Millets,Sandy,0,Kharif
Bokaro,2061-06-07,240,43,468,8.29,0.42,0.33,3.27,7.46,3.84,10.68,21.79,6.75,1.13,50.5,2.16,194.4,33.9,45.5,36.8,8.6,118.3,Millets,Alluvial,0,Kharif
Garhwa,2061-06-08,362,27,349,5.76,1.85,1.96,0.59,17.49,3.16,10.06,23.76,6.27,0.35,237,0.9,254.6,20.1,173.7,49.6,14.3,88,Maize,Sandy,0,Kharif
Godda,2061-06-09,76,49,159,7.43,1.74,0.4,3.66,2.38,3.86,17.19,35.1,7.89,1.62,487.4,2.48,58.7,26,175.3,58.6,11.6,89,Rice,Sandy,0,Kharif
Chatra,2061-06-10,382,32,135,7.04,1.95,0.14,3.81,16.64,4.83,3.87,28.78,7.47,1.08,244.1,1.93,262,24.9,179.9,41.6,5.9,245,Pulses,Sandy,0,Kharif
Sahebganj,2061-06-11,171,40,252,8.01,0.69,1.95,1.44,14.28,2.03,13.92,15.07,7.07,1.92,61.9,0.24,149.9,27.4,99.6,35.7,5.6,197.3,Rice,Alluvial,0,Kharif
Gumla,2061-06-12,229,60,209,8.32,0.29,0.81,2.33,17.47,4.96,9.22,21.34,6.21,1.81,286.3,2.15,197,13.1,53.9,31.1,7.4,168.5,Maize,Alluvial,0,Kharif
Koderma,2061-06-13,215,11,103,5.44,0.54,1.27,3.94,2.59,2.65,2.96,28.26,7.94,1.27,263.3,2.07,204,22.3,0.7,59.8,7.5,164.2,Pulses,Red Lateritic,0,Kharif
Ramgarh,2061-06-14,331,25,567,8.24,1.64,1.03,3.14,8.97,1.32,10.28,35.94,5.8,2.14,244.9,1.54,162,26.8,26.2,26.9,5,173.7,Wheat,Black,0,Kharif
Dumka,2061-06-15,250,58,447,4.68,1.47,1.86,0.52,10.14,0.36,14.03,14.22,5.79,2.12,167.5,1.51,297.5,20.7,145.8,84.7,6.1,179.1,Wheat,Sandy,0,Kharif
Latehar,2061-06-16,384,29,355,6.74,0.6,0.2,0.43,6.24,0.14,19.25,13.87,6.8,1.82,273.4,2.03,205.6,13.4,155.6,82,14.4,208.4,Pulses,Sandy,0,Kharif
Lohardaga,2061-06-17,202,45,387,5.67,1.66,0.22,1,9.84,1.17,12.14,29.35,5.68,2.13,486.7,1.79,294.2,11.1,182.6,24.3,8.7,232.5,Rice,Sandy,0,Kharif
Giridih,2061-06-18,357,30,83,7.84,1.37,1.01,2.58,6.08,4.97,6.71,16.05,8.37,2.7,290.3,2.07,313.2,12.3,198.2,64.4,12.9,128,Rice,Alluvial,0,Kharif
Godda,2061-06-19,374,52,198,7.4,2.47,0.14,3.51,8.6,0.35,1.09,39.28,5.68,2.37,478.6,0.32,154.5,10.2,80.8,54.3,4.3,169,Millets,Sandy,0,Kharif
Latehar,2061-06-20,381,53,189,6.56,1.01,1.73,3.03,5.19,3.86,14.4,35.88,7.92,0.77,270.4,1.89,331.9,14.9,155.6,79.3,4.8,242,Millets,Loamy,0,Kharif
Giridih,2061-06-21,85,38,228,4.52,2.01,0.19,4.03,19.42,2.47,6.65,33.16,6.11,0.8,284.6,0.61,127.8,18.4,197.6,40.4,6.6,236.7,Wheat,Sandy,0,Kharif
Bokaro,2061-06-22,316,53,415,6.08,1.67,1.04,4.55,1.91,2.94,7.47,12.52,6.54,1.87,282.6,0.56,380.8,19.8,39.8,81.2,14.2,134.1,Rice,Sandy,0,Kharif
Gumla,2061-06-23,347,18,372,7.26,1.93,1.32,4.73,15.48,2.89,16.99,36.97,6.76,0.41,402,2.41,224.2,13.5,35.6,77.4,6.6,160.5,Wheat,Sandy,0,Kharif
East Singhbhum,2061-06-24,69,22,476,5.01,2.26,0.9,4.96,10.98,0.69,16.18,14.66,6.38,1.99,75.2,0.63,243.3,18.6,51.1,58.7,10.3,218.1,Vegetables,Sandy,0,Kharif
Lohardaga,2061-06-25,144,20,276,5.7,1.66,1.86,3.51,7.35,4.84,4.11,16.7,5.98,2.07,427.5,1.72,125.8,17.8,70.4,59.7,13.2,59,Millets,Sandy,0,Kharif
West Singhbhum,2061-06-26,349,37,287,4.88,0.58,1.64,0.86,5.32,0.86,8.38,14.24,7.84,2.48,262.7,0.4,394.3,21.6,119.4,88.7,4.5,94.8,Pulses,Red Lateritic,0,Kharif
Koderma,2061-06-27,166,50,65,6.58,2.21,1.65,0.47,2.05,0.69,3.26,17.97,6.75,2.82,236.6,0.41,361,15.3,54.1,97.6,11,231.4,Pulses,Sandy,0,Kharif
Gumla,2061-06-28,175,7,172,5.19,1.48,1.94,0.87,17.85,4.06,12.76,17.59,6.96,0.46,456,2.31,234.9,13.5,0.4,76.4,11.5,120.1,Pulses,Sandy,0,Kharif
Lohardaga,2061-06-29,229,34,344,4.73,1.59,1.63,3.71,15.87,3.87,2.35,34.48,7.66,2.35,166.2,1.33,372.7,36.3,94.8,82.9,12.2,205.8,Vegetables,Sandy,0,Kharif
Lohardaga,2061-06-30,237,31,91,5.63,1.54,0.52,1.48,13.42,4.33,1.56,27.26,8.01,2.07,102.4,0.44,203.8,29.2,82.2,52.3,13,230.5,Millets,Sandy,0,Kharif
Chatra,2061-07-01,127,10,239,6.16,1.71,1.6,0.29,7.85,0.94,9.14,15.28,6.42,2.83,260.1,1.23,79.1,36.4,137.7,65.9,13.9,156.4,Pulses,Sandy,0,Kharif
Khunti,2061-07-02,387,5,242,6.79,1.84,1.53,2.72,10.85,2.46,3.77,24.09,5.75,1.19,337.7,0.1,304,37.9,173,88.2,12.8,219.7,Vegetables,Sandy,0,Kharif
Dumka,2061-07-03,52,28,313,6.24,0.5,0.32,1.85,16.07,4.43,12.24,36.17,7.64,2.43,277.9,2.32,246.8,16.1,62.4,86.2,12.4,170,Wheat,Loamy,0,Kharif
Gumla,2061-07-04,304,47,444,8.46,1.95,1.32,2.74,8,4.18,15.79,19.29,5.55,2.18,208.9,1.07,61.8,23.8,78.3,20.4,12.9,147.2,Vegetables,Alluvial,0,Kharif
Lohardaga,2061-07-05,253,51,114,6.84,2.31,0.63,1.01,12.41,4.19,6.76,28.49,6.26,2.46,126,1.66,173.7,38.3,72.5,42.5,11.3,197.6,Pulses,Sandy,0,Kharif
Deoghar,2061-07-06,151,59,110,6.36,1.42,1.55,0.43,12.99,0.54,19.68,14.51,6.53,2.64,227.9,1.16,335.3,31.8,164.4,86.7,6.6,76.3,Maize,Sandy,0,Kharif
Giridih,2061-07-07,125,33,482,5.14,1.87,1.6,4.2,6.24,2.93,3.44,35.8,8.26,1.88,62.9,1.7,335.7,22.9,176,38.8,4.7,130.1,Vegetables,Sandy,0,Kharif
Palamu,2061-07-08,361,42,342,6.88,1.12,1.8,2.94,2.35,3.55,14.39,39.3,6.25,1.97,153.7,1.46,305.7,16.4,143.8,29.2,3.3,165.7,Rice,Loamy,0,Kharif
Bokaro,2061-07-09,51,17,502,7.09,1.69,1.85,0.3,15.05,4.16,16.61,33.46,7.54,1.18,490.9,0.13,384.6,30.2,174.9,79.5,7.4,85.5,Millets,Black,0,Kharif
Sahebganj,2061-07-10,316,53,247,6.5,0.82,1,0.92,2.18,4.27,6.94,33.68,5.8,1.77,306.7,0.65,202.2,19.5,92.5,54.6,13.5,242.4,Wheat,Loamy,1,Kharif
East Singhbhum,2061-07-11,112,26,65,6.1,1.54,0.37,0.73,10.95,4.86,7.42,39.22,5.81,1.83,482,2.46,264.9,27.7,45.7,23.4,5.8,69.5,Maize,Loamy,0,Kharif
Pakur,2061-07-12,262,22,101,5.37,1.28,1.04,3.15,7.23,1.06,16.25,23.01,7.63,2.18,424.3,0.56,229.1,14.4,186.4,84.3,10.6,93,Wheat,Sandy,0,Kharif
Pakur,2061-07-13,130,8,64,4.83,1.58,0.12,0.8,9.09,2.27,5.66,32.95,7.75,2.13,204.7,2.23,81.8,21.1,133,66.3,8.7,135.1,Vegetables,Sandy,0,Kharif
Deoghar,2061-07-14,224,28,279,6.03,0.29,0.79,0.61,5.9,0.43,12.94,13.52,6.09,0.81,450.2,1.67,292,33.8,133.1,82.8,14.2,60.4,Rice,Sandy,0,Kharif
Khunti,2061-07-15,334,40,406,7.71,0.41,0.88,2.82,13.02,4.06,10.2,33.61,6.18,1.74,268.9,1.77,339.6,16.6,158.8,50.4,7.6,214,Millets,Alluvial,0,Kharif
Ramgarh,2061-07-16,132,50,283,7.64,1.99,1.25,3.79,5.2,4.24,10.95,17.24,5.53,1.63,427.3,2.27,142.4,10.9,172.9,55.7,11.1,181.2,Maize,Alluvial,0,Kharif
West Singhbhum,2061-07-17,351,16,144,4.57,0.65,1.17,4.4,12.71,2.93,7.29,20.71,7.76,2.83,123.8,2.5,135.8,28,150.3,35,13.3,154.1,Pulses,Red Lateritic,0,Kharif
Saraikela Kharsawan,2061-07-18,323,28,397,6.77,0.31,1.58,4.12,11.98,0.44,4,28.42,6.24,0.19,466,1.22,281.2,18.5,146.1,27.7,13.4,230.2,Vegetables,Sandy,0,Kharif
Palamu,2061-07-19,181,55,288,6.2,0.94,1.94,0.42,16.85,3.27,8.17,25.41,5.82,2.19,374.2,2.07,68.7,22.8,152.9,98.6,12.8,163,Millets,Sandy,0,Kharif
